National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Contributors,Effort,"If Effort=Other, Then Specify",Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Group Type: UME,Num of Animals in Group Event,Number of Animals Act/Est,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,2001 Level A: External Exam,2001 Level A: Internal Exam,2001 Level A: Not Examined,How Determined: Describe,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Other Findings - Other Flag,Other Findings - Descibe,SW Other Findings Type,2007 Other Findings - External,2007 Other Findings - Internal,2007 Other Findings - Necropsy,2007 Other Findings - Other,2007 Other Findings - Descibe,2001 Other Findings - Descibe,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Obs Date estimate explaination,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Date of Initial Disposition,Year of Initial Disposition,Month of Initial Disposition,Day of Initial Disposition,Rehab Facility Name,Died During Transport Flag,Euthanized During Transport,Other Flag,Other Describe Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Condition Other Flag,Condition Other Description,Entangled Flag,Condition Comments,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Photos/Vidoes Disposition,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk Flag,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill Flag,Carcass Unknown Flag,Carcass Other Flag,Carcass Other Description,Scientific Collection Flag,Educational Collection Flag,Other Collection Flag,Other Collection Describe,Other Collection Comments,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers,GE Number - GE_Module,How lat or long determined,Ex First Examined,Ex Country,Ex State or County,Ex City,Ex Body of Water,Ex Locality Detail,Ex Latitude,Ex Lat actual,Ex Longitude,Ex Lon actual,Ex How lat or long determined,Ex lat achived other text,No Rehab Options,Incinerated,Composted,Carcass Code at Necropsy,Samples Collected-Histology,Samples Collected-Other Diag,Samples Collected-Life Hist,Samples Collected-Skeletal,Samples Collected-Other,Samples Collected-Other Text,Human Interaction Report,human interaction contributed,GE Type(s) - GE_Module,Group Event Flag - GE_Module,GE Num of Animals - GE_Module,GE Num of Animals Act or Est - GE_Module
NE-2018-1202270,AMCS55Pm2018,NER18-00153,Confirmed - High Report,"Whale, sperm",Physeter,macrocephalus,OPEN,Kimberly Durham,Atlantic Marine Conservation Society,Atlantic Marine Conservation Society,,,,NE,United States,East Hampton,Suffolk,NY,Atlantic Ocean,"Stranded on rocks offshore the east side of Gardiners Island, in Tobaccolot Bay",41.067709,decimal degrees,estimate,–72.087341,decimal degrees,estimate,Internet,,,,,,,,,,CBD,C,N,C,,N,,,,,,,,,Y,,,,N,,,,,,,Y,Y,,,,,2018-MAY-07,2018,MAY,7,Beach or Land,,,Advanced Decomposition,,2018-May-09,2018,MAY,9,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,Y,,1280,cm,actual,10886.2,kg,estimate,Y,AMCS Drive,Y,,,,,,,,,,,,,,,,,,,Y,limited,,2018-May-10,2018,MAY,10,Kim Durham,,,,"GPS location taken on beach at site of stranding, and online map used to estimate coordinates of animal's offshore position",Beach or Land,35,70,East Hampton,1509,"Stranded on rocks offshore the east side of Gardiners Island, in Tobaccolot Bay",41.067709,estimate,-72.087341,estimate,Internet,"GPS location taken on beach at site of stranding, and online map used to estimate coordinates of animal's offshore position",,,,4,,,Y,,Y,biotoxin,Y,,,,,
NE-2018-1203388,AMCS73Mn2018,NER18-00361,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,Kimberly Durham,Atlantic Marine Conservation Society,Atlantic Marine Conservation Society,,,,NE,United States,Bayshore,Suffolk,NY,Atlantic Ocean,.02 miles west of 2nd Street Point O' Woods Fire Island National Seashore,40.6484,decimal degrees,actual,–73.134,decimal degrees,actual,GPS,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,N,,,,,,,Y,Y,Y,,,,2018-MAY-27,2018,MAY,27,Beach or Land,,,Advanced Decomposition,Y,2018-May-28,2018,MAY,28,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,1020,cm,actual,,,notMeasured,Y,AMCS Google Site,,Y,,,,,,40.6484,-73.1343,,,,,,Y,,,,,Y,complete,fresh,2018-May-28,2018,MAY,28,Kimberly Durham,,,,,Beach or Land,35,70,Bayshore,1509,.02 miles west of 2nd Street Point O'Woods Fire Island National Seashore,40.6484,actual,73.134,actual,GPS,,,,,4,Y,,,,Y,biotoxin,Y,,,,,
NE-2018-1204333,AMCS123Mn2018,NER18-00547,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,Kimberly Durham,Atlantic Marine Conservation Society,Atlantic Marine Conservation Society,,,,NE,United States,Amagansett,Suffolk,NY,Atlantic Ocean,.8 miles east of Atlantic Drive. 2062 Montauk Hwy. Windward Shores,40.9972,decimal degrees,actual,–72.0386,decimal degrees,actual,GPS,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,Y,NOAA,Y,,,,Y,Crassicaudiosis,,Y,Y,Y,,,,2018-JUL-26,2018,JUL,26,Beach or Land,,,Advanced Decomposition,Y,2018-Jul-27,2018,JUL,27,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,930,cm,actual,,,notMeasured,Y,AMCS Google Site,,,,,,,,,,,,,,,Y,,,,,Y,complete,fresh,2018-Jul-27,2018,JUL,27,Kimberly Durham,,,,,Beach or Land,35,70,Amagansett,1509,.8 miles east of Atlantic Drive. 2062 Montauk Hwy. Windward Shores,40.9972,actual,-72.0386,actual,GPS,,,Y,,4,Y,Y,,,Y,biotoxin,Y,Probable,,,,
NE-2017-1198290,AMCS117Mn2017,NER17-00421,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,Kimberly Durham,Atlantic Marine Conservation Society,Atlantic Marine Conservation Society,,,,NE,United States,Southold,Suffolk,NY,,Plum Island - North side of the island - Long Island Sound,41.1895,decimal degrees,actual,–72.1666,decimal degrees,actual,Map,,,,,,,,,,CBD,,,,,,,,,,,,,,Y,,,,CBD,,,,,,,,,,,,,2017-OCT-19,2017,OCT,19,Beach or Land,,,Advanced Decomposition,,2017-OCT-19,2017,OCT,19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,,,900,cm,estimate,,,notMeasured,Y,AMCS Google Site,Y,,,,,,,,,,,,,,Y,,,,,N,,,,,,,,Orientation of carcass limited the level A examination. Condition of the carcass led to the determination not to tow to a suitable site for a necropsy.,,,,Beach or Land,35,70,Southold,,Plum Island - North side of the island - Long Island Sound,41.1895,actual,-72.1666,actual,Map,,,,,,,,,,Y,skin,Y,,,,,
NE-2018-1206729,AMCS161Ba2018,NER18-01207,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,OPEN,Kimberly Durham,Atlantic Marine Conservation Society,Atlantic Marine Conservation Society,,,,NE,United States,East Hampton,Suffolk,NY,Atlantic Ocean,".7 miles west of Indian Wells Beach at end of Indian Wells Hwy. East Hampton Town, Suffolk County Atlantic Ocean",40.9588,decimal degrees,actual,–72.1496,decimal degrees,actual,GPS,,,,,,,,,,CBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-SEP-24,2018,SEP,24,Beach or Land,,,Advanced Decomposition,Y,2018-Sep-25,2018,SEP,25,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,570,cm,estimate,,,,Y,AMCS Google Drive,,,,,,,,,,,Y,,,,,,,,,Y,complete,,2018-Sep-25,2018,SEP,25,Kimberly Durham,,,,,Beach or Land,35,70,East Hampton,1509,".7 miles west of Indian Wells Beach at end of Indian Wells Hwy. East Hampton Town, Suffolk County Atlantic Ocean",40.9588,actual,-72.1496,actual,GPS,,,,,4,,,,,,,,,,,,
NE-2017-1198380,AMCS121Mn2017,NER17-00456,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,Kimberly Durham,Atlantic Marine Conservation Society,Atlantic Marine Conservation Society,,,,NE,United States,Southampton,Suffolk,NY,Atlantic Ocean,.14 miles west of Cryder Lane,41.1895,decimal degrees,estimate,–72.1666,decimal degrees,actual,GPS,,,,,,,,,,CBD,,,,,,,,,,,,,,Y,,,,CBD,,,,,,,,,,,,,2017-OCT-31,2017,OCT,31,Beach or Land,,,Mummified/Skeletal,,2017-OCT-31,2017,OCT,31,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,,Y,220,cm,actual,,,notMeasured,Y,AMCS Google Drive,,Y,,,,,,,,,,,,,,,Y,Barnacles,,N,,,,,,,,Remains included only the fluke blades and the distal section of the peducle. Moderate scavenger damage consistent with shark noted.,,,,Beach or Land,35,70,Southampton,1509,.14 miles west of Cryder Lane,41.1895,actual,-72.1666,actual,GPS,,,,,4,,,,,Y,Genetics,Y,,,,,
NE-2002-1035369,NY28542002,S200209NYC003,Unconfirmed,"Whale, sei",Balaenoptera,borealis,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,BABYLON,Suffolk,NY,Atlantic Ocean,SOUTH OF GILGO STATE PARK - ATLANTIC OCEAN,403802,deg/min/sec,,731908,deg/min/sec,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,2002-SEP-12,2002,SEP,12,,,,Alive,N,2002-SEP-12,2002,SEP,12,Alive,N,N,N,N,Y,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,YEARLING,,,694.9,cm,actual,,kg,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,,Y,,,2002-SEP-12,2002,SEP,12,Kim Durham,From comments: Body condition was noted as emaciated. Blubber thickness mid-ventral .9cm. No significant findings found with necropsy. Large Insestine full of fecal material.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1999-1038942,NY236599,S199910NYC001,Unconfirmed,"Whale, sperm",Physeter,macrocephalus,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,WESTHAMPTON BCH,Suffolk,NY,Atlantic Ocean,"0.25 MILES EAST OF ROGERS BEACH, ATLANTIC OCEAN.",4044,decimal degrees,,7251.52,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1999-OCT-22,1999,OCT,22,,,,Alive,N,1999-OCT-22,1999,OCT,22,Alive,N,N,N,N,N,N,Y,1999-OCT-22,1999,OCT,22,Riverhead Foundation for Marine Research and Preservation,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,euthanized on 10/23/99,FEMALE,UNKNOWN,,,383,cm,actual,2000,lb,estimate,Y,,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,Necropsy date fabricated because its unknown.,Y,,,1999-OCT-22,1999,OCT,22,,Follow determination of age and dependency on maternal support decision made to euthanize. Support given from Mystic Marinelife Aquarium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2000-1038520,NY24112000,S200003NYC026,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,SOUTHAMPTON,Suffolk,NY,Atlantic Ocean,"END OF WEESUCK CREEK, E. QUOGUE",4050.83,decimal degrees,,7234.62,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,2000-MAR-20,2000,MAR,20,,,,Alive,N,2000-MAR-22,2000,MAR,22,Fresh Dead,N,N,N,N,N,Y,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,,,553,cm,actual,,lb,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,Necropsy date fabricated because its unknown.,Y,,,2000-MAR-22,2000,MAR,22,,Animal was initially spotted 03/20/2000 alive and swimming toward inlet. Reported dead in boat slip 03/21/2000. Body condition was noted as emaciated with pathology associated with skin; focally severe necrotizing dermatitis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1993-1037674,NY116093,S199310NYC001,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,FIRE ISLAND,Suffolk,NY,Atlantic Ocean,SMITH POINT ON FIRE ISLAND; 4.2 MILES W. OF WILLIAM FLOYD PARKWAY,4043.25,decimal degrees,,7254,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1993-OCT-25,1993,OCT,25,,,,Moderate Decomposition,N,1993-OCT-28,1993,OCT,28,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,,,950,cm,actual,,kg,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,Y,Y,N,,"tox, DNA, and bones taken. Necropsy date fabricated because its unknown.",Y,,,1993-OCT-28,1993,OCT,28,,"Animal was washed 10 miles further West by storm. Internal organs washed out, filled with sand and was partially buried on beach. Carcass was taken apart and buried.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1993-1037673,NY108493,S199308NYC001,Unconfirmed,"Whale, minke",Balaenoptera,acutorostrata,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,BRIDGEHAMPTON,Suffolk,NY,Atlantic Ocean,0.2 MI. E OF ATLANTIC AVE; ATLANTIC OCEAN BEACH #148,4053.48,decimal degrees,,7218.67,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1993-AUG-13,1993,AUG,13,,,,Moderate Decomposition,N,1993-AUG-13,1993,AUG,13,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,,,445,cm,actual,,kg,actual,Y,,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,tox samples taken. Necropsy date fabricated because its unknown.,Y,,,1993-AUG-13,1993,AUG,13,,Parasitic copepods just beneath blubber layer. Baleen gone. Several large holes in body - decomposition. Thin blubber layer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1995-1037707,NY157095,S199508NYC001,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,BABYLON,Suffolk,NY,Atlantic Ocean,OCEAN PKWY AT SORE THUMB AREA 4X4 ACCESS 1/4 MI WEST,4037.57,decimal degrees,,7318.48,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,N,N,N,,N,,,,,,,,,1995-AUG-15,1995,AUG,15,,,,Advanced Decomposition,N,1995-AUG-15,1995,AUG,15,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,,,0,cm,actual,,kg,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,"First observed body intake , flukes deteriorated, lower mandible bones exposed 8/16/95. Surf had broken body cavity open, intestines out of cavity and in surrounding water. Further examination no longer possible due to tide and surf conditions. Authorization given to retrieve body from surf and bury it on beach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2002-1035368,NY28182002,S200204NYC008,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,ISLIP,Suffolk,NY,Atlantic Ocean,KISMET FIRE ISLAND NATIONAL SEASHORE,403756,deg/min/sec,,731219,deg/min/sec,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,"External exam, Internal exam",N,,,N,N,,N,,,,,,,,"External exam, Internal exam",2002-APR-16,2002,APR,16,,,,Advanced Decomposition,N,2002-APR-19,2002,APR,19,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,,,1535,cm,estimate,,kg,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,,Y,,,2002-APR-19,2002,APR,19,Kim Durham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1999-1038955,NY230799,S199905NYC005,Unconfirmed,"Whale, fin",Balaenoptera,physalus,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,BROOKHAVEN,Suffolk,NY,Atlantic Ocean,"7.2 MILES EAST SMITH POINT COUNTY PARK, ATLANTIC OCEAN.",4045.72,decimal degrees,,7245.8,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1999-MAY-07,1999,MAY,7,,,,Advanced Decomposition,N,1999-MAY-11,1999,MAY,11,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,,,2080,cm,actual,,kg,actual,Y,,N,N,Y,N,,,N,,,N,N,N,N,,N,Y,N,,tissues and skeleton at facility. Necropsy date fabricated because its unknown.,Y,,,1999-MAY-11,1999,MAY,11,,"Reported by a private vessel. Initially at Gull Island Moriches Inlet. Skeletal remains of fetus collected. Rendered tissues, skeleton at facility. Possible scenario; Parasitic vasculitis --> fetal death and autolyses --> endotoxemic shock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2000-1032412,NY24522000,S200007NYC004,Unconfirmed,"Whale, fin",Balaenoptera,physalus,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,WESTHAMPTON BCH,Suffolk,NY,Atlantic Ocean,DUNE RD. 1 MILE WEST OF JESSUP LANE BRIDGE. ATLANTIC OCEAN.,40.7894,decimal degrees,estimate,–72.6625,decimal degrees,estimate,Other,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,N,N,N,,N,,,,,,,,,2000-JUL-30,2000,JUL,30,,,,Advanced Decomposition,N,2000-JUL-31,2000,JUL,31,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,0,cm,actual,,lb,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,Y,N,,ribs and 1 scapula collected for education program. Necropsy date fabricated because its unknown.,Y,,,2000-JUL-31,2000,JUL,31,Riverhead,Initially observed floating. Species probably Balaenoptera acutorostrata as length of foreflipper measured 97.0 cm (small in comparison to body size). Remains characterized as skin with various bones. No visceral organs present. Skull and vertebral column were noted as incomplete. Ribs and (1) scapula collected for education program. Jan. 2011: genetic testing identify species as B. physalus,"deg/min/sec: 40/47/22, -72/39/45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1994-1037703,NY120094,S199403NYC001,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,FIRE ISLAND,Suffolk,NY,Atlantic Ocean,1) 1.4 MI W OF WATER IS. TAIL FLUKES AND VERTIBRAE 2) 3.6 MI W OF WATER IS. LOWER JAW/BALEEN,4040.69,decimal degrees,,7302.51,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,N,N,N,,N,,,,,,,,,1994-MAR-12,1994,MAR,12,,,,Advanced Decomposition,N,1994-MAR-12,1994,MAR,12,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,0,cm,actual,,kg,actual,N,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,"In pieces. Weight measurments not taken - two chunks down the beach from each other. Tail bone and flukes and parts of back found at 40degrees40'69""/073degrees02'51"", lower jaw/pletes found 3.6 miles west of water is. 40dgs39'31""/073dgs05'12"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1997-1039809,NY202197,S199708NYC002,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,BROOKHAVEN,Suffolk,NY,Atlantic Ocean,6.7 MI WEST OF SMITHPOINT COUNTY PARK. FIRE ISLAND NATIONAL SEASHORE; ATLANTIC OCEAN,4041.5,decimal degrees,,7258.85,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1997-AUG-18,1997,AUG,18,,,,Advanced Decomposition,N,1997-AUG-20,1997,AUG,20,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,240,in,estimate,,lb,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,Y,Y,N,,bones collected. Necropsy date fabricated because its unknown.,Y,,,1997-AUG-20,1997,AUG,20,,Species unidentifed (ID'd as HUWH later) due to extent of decomposition. Several bones reportedly taken by town employees. Information turned over to NMFS enforcement. Skin collected for species identification. Tissue buried at site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1997-1039808,NY202497,S199708NYC001,Unconfirmed,"Whale, minke",Balaenoptera,acutorostrata,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,WESTHAMPTON BCH,Suffolk,NY,Atlantic Ocean,435 DUNE ROAD SOUTHHAMPTON TOWNSHIP; ATLANTIC OCEAN,4047.22,decimal degrees,,7240.22,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1997-AUG-25,1997,AUG,25,,,,Advanced Decomposition,N,1997-AUG-26,1997,AUG,26,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,439.4,cm,actual,,lb,actual,Y,,N,N,Y,N,,,N,,,N,N,N,N,,N,Y,N,,"flipper, 3 vertbrae, mandible and scapula archived. Necropsy date fabricated because its unknown.",Y,,,1997-AUG-26,1997,AUG,26,,"Extent of decomposition limited findings of post-mortem examination. No obvious signs of trauma or entanglement. No foreign debris observed within digestive tract. Flipper, 3 vertebrae, mandible, scapula archived.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1993-1037675,NY116593,S199311NYC001,Unconfirmed,Unidentified Balaenopterid,,,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,WESTHAMPTON BCH,Suffolk,NY,Atlantic Ocean,3 MILES WEST OF WESTHAMPTON BRIDGE; ATLANTIC OCEAN BEACH #158,4047.3,decimal degrees,,7341.3,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1993-NOV-06,1993,NOV,6,,,,Advanced Decomposition,N,1993-NOV-08,1993,NOV,8,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,0,cm,actual,,kg,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,A 10 ft. piece of whale with ventral pleats and rib bones present found in swash zone. Unidentifiable to genus or species.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1996-1039799,NY187096,S199608NYC001,Unconfirmed,Unidentified Balaenopterid,,,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,BABYLON,Suffolk,NY,Atlantic Ocean,1.0 MI WEST OF DEMOCRAT PT BEACH ACCESS. ROBERT MOSES ST. PARK; ATLANTIC OCEAN,4037.28,decimal degrees,,7317.57,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,N,N,N,,N,,,,,,,,,1996-AUG-20,1996,AUG,20,,,,Advanced Decomposition,N,1996-AUG-20,1996,AUG,20,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,0,cm,actual,,lb,actual,Y,,Y,N,N,N,,,N,,,N,N,N,N,,N,Y,N,,"humerus,rib and 2 vertebrae",N,,,,,,,,"Although carcass lost to the sea (8/21/96), humerus, rib, and 2 vertebrae were collected. Carcass was incomplete, throat grooves visible thoracic region only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1996-1039798,NY187796,S199609NYC002,Unconfirmed,Unidentified Balaenopterid,,,Validated,Kim Durham,,Riverhead Foundation for Marine Research,,,,NE,United States,WESTHAMPTON BCH,Suffolk,NY,Atlantic Ocean,"IN FRONT OF WESTHAMPTON BEACH AND BATH HOUSE, DUNE ROAD, SOUTHHAMPTON TOWN; ATLANTIC OCEAN",4047.25,decimal degrees,,7240,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,N,N,N,,N,,,,,,,,,1996-SEP-01,1996,SEP,1,,,,Mummified/Skeletal,N,1996-SEP-01,1996,SEP,1,Mummified/Skeletal,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,160,cm,estimate,300,lb,actual,Y,,N,N,Y,N,,,N,,,N,N,N,N,,Y,N,N,,skull,N,,,,,,,,Skull presently held at facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
